Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014Step",2015 Decile,"2015 Step",Decile Change,Step Change,"July 2014 Funding rollYears 9+","July 2014 Funding rollTotal ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
3719,Brockville School,2,F,2,E,0,-1,0,132,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3302,Bromley School,2,D,3,G,1,3,0,324,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1236,Brookby School,8,P,5,M,-3,-3,0,124,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1699,Brookfield School,4,J,4,J,0,0,0,206,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
3185,Brooklyn School (Motueka),5,M,5,M,0,0,0,114,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
2816,Brooklyn School (Wellington),10,Z,10,Z,0,0,0,451,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3303,Broomfield School,9,Q,8,P,-1,-1,0,111,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
1237,Browns Bay School,10,Z,10,Z,0,0,0,607,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1238,Bruce McLaren Intermediate,3,I,3,G,0,-2,0,240,Intermediate,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Kelston,Te Tai Tokerau
2342,Brunswick School,7,O,7,O,0,0,0,79,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1239,Buckland School,8,P,8,P,0,0,0,261,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1240,Bucklands Beach Intermediate,9,Q,9,Q,0,0,0,769,Intermediate,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1241,Bucklands Beach Primary School,10,Z,10,Z,0,0,0,448,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
301,Buller High School,3,I,5,M,2,4,325,325,Secondary (Year 9-15),State,Buller District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2343,Bulls School,6,N,5,M,-1,-1,0,177,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2344,Bunnythorpe School,5,M,4,L,-1,-1,0,24,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3304,Burnham School,9,Q,10,Z,1,1,0,147,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
319,Burnside High School,8,P,8,P,0,0,2444,2444,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3305,Burnside Primary School,5,M,4,L,-1,-1,0,250,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2548,Camberley School,1,A,1,A,0,0,0,127,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1700,Cambridge East School,9,Q,10,Z,1,1,0,348,Contributing,State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
142,Cambridge High School,9,Q,9,Q,0,0,1388,1388,Secondary (Year 9-15),State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
1701,Cambridge Middle School,8,P,9,Q,1,1,8,459,Restricted Composite (Year 7-10),State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
1702,Cambridge School,8,P,9,Q,1,1,0,353,Contributing,State,Waipa District,Waikato Region,Hamilton,Taupo,Hauraki-Waikato
1242,Campbells Bay School,10,Z,10,Z,0,0,0,761,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
211,Campion College,6,N,6,N,0,0,365,505,Secondary (Year 7-15),State: Integrated,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
3307,Cannington School,9,Q,6,N,-3,-3,0,21,Full Primary,State,Mackenzie District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
2818,Cannons Creek School,1,A,1,A,0,0,0,164,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3186,Canvastown School,5,M,6,N,1,1,0,35,Full Primary,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
2819,Cardinal McKeefry School (Wilton),10,Z,10,Z,0,0,0,100,Full Primary,State: Integrated,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3308,Carew Peel Forest School,10,Z,10,Z,0,0,0,75,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
1704,Cargill Open Plan School,3,G,2,E,-1,-2,0,126,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
648,Carisbrook School,2,F,3,G,1,1,0,342,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
523,Carlson School (Cerebral Palsy),3,I,4,J,1,1,25,59,Special School,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
2345,Carlton School,2,F,3,H,1,2,0,301,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
35,Carmel College,10,Z,9,Q,-1,-1,738,1039,Secondary (Year 7-15),State: Integrated,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
2820,Carterton School,4,K,6,N,2,3,0,322,Full Primary,State,Carterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3309,Casebrook Intermediate,5,M,6,N,1,1,0,368,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2821,Cashmere Avenue School,10,Z,10,Z,0,0,0,354,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
340,Cashmere High School,8,P,9,Q,1,1,1696,1696,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3310,Cashmere Primary School,10,Z,10,Z,0,0,0,482,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
2346,Castlecliff School,1,B,1,C,0,1,0,100,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
531,Catholic Cathedral College,3,H,4,J,1,2,329,381,Secondary (Year 7-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1705,Centennial Park School,1,C,1,B,0,-1,0,113,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
233,Central Hawkes Bay College,4,L,4,L,0,0,535,535,Secondary (Year 9-15),State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
2418,Central Normal School,4,L,4,J,0,-2,0,461,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
2160,Central School,8,P,8,P,0,0,0,272,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
399,Central Southland College,7,O,6,N,-1,-1,450,450,Secondary (Year 9-15),State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3225,Central Takaka School,6,N,6,N,0,0,0,27,Contributing,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
244,Chanel College,5,M,5,M,0,0,206,286,Secondary (Year 7-15),State: Integrated,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1581,Chapel Downs School,2,F,2,E,0,-1,0,591,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1243,Chaucer School,4,L,4,J,0,-2,0,238,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1244,Chelsea School,10,Z,10,Z,0,0,0,392,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
2347,Cheltenham School,6,N,5,M,-1,-1,0,14,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3313,Chertsey School,6,N,7,O,1,1,0,29,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
309,Cheviot Area School,7,O,4,L,-3,-3,55,183,Composite (Year 1-15),State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
3314,Chisnallwood Intermediate,5,M,5,M,0,0,0,637,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1245,Christ the King Catholic School (Owairaka),3,I,3,G,0,-2,0,165,Full Primary,State: Integrated,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
3316,Christ The King School (Burnside),9,Q,8,P,-1,-1,0,324,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
317,Christchurch Adventist School,6,N,5,M,-1,-1,90,223,Composite (Year 1-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
327,Christchurch Boys' High School,9,Q,10,Z,1,1,1315,1315,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3317,Christchurch East School,3,G,3,H,0,1,0,220,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
328,Christchurch Girls' High School,9,Q,9,Q,0,0,1029,1029,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
3318,Christchurch South Intermediate,6,N,8,P,2,2,0,516,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1138,Christian Renewal School,5,M,4,L,-1,-1,99,203,Composite (Year 1-15),State: Integrated,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1246,Churchill Park School,10,Z,10,Z,0,0,0,429,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
2824,Churton Park School,10,Z,10,Z,0,0,0,362,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
2348,Churton School,3,H,3,H,0,0,0,129,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3321,Clarkville School,9,Q,10,Z,1,1,0,214,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1247,Clayton Park School,2,F,2,D,0,-2,0,447,Full Primary,State,Auckland- Manurewa,Auckland Region,Auckland South,Papakura,Tamaki Makaurau
6980,Clearview Primary,9,Q,10,Z,1,1,0,620,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1248,Clendon Park School,1,C,1,B,0,-1,0,574,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1249,Clevedon School,10,Z,9,Q,-1,-1,0,357,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2349,Clifton School (Bulls),6,N,4,L,-2,-2,0,126,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2826,Clifton Terrace Model School,9,Q,8,P,-1,-1,0,56,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3187,Clifton Terrace School,8,P,9,Q,1,1,0,312,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3723,Clinton School,4,K,5,M,1,2,0,89,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2549,Clive School,7,O,7,O,0,0,0,227,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2350,Cloverlea School,4,L,3,I,-1,-3,0,273,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
3724,Clutha Valley School,9,Q,9,Q,0,0,0,95,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
2827,Clyde Quay School,8,P,10,Z,2,2,0,228,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
3725,Clyde School,9,Q,9,Q,0,0,0,126,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
551,Coastal Taranaki School,5,M,7,O,2,2,63,315,Composite (Year 1-15),State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1252,Coatesville School,10,Z,10,Z,0,0,0,266,Contributing,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
3322,Cobden School,2,E,3,G,1,2,0,144,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
3323,Cobham Intermediate,8,P,8,P,0,0,0,623,Intermediate,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2550,Cobham School,1,A,1,A,0,0,0,43,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1253,Cockle Bay School,10,Z,10,Z,0,0,0,706,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
2352,Coley Street School,2,E,2,F,0,1,0,226,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2353,College Street Normal School,9,Q,8,P,-1,-1,0,569,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
290,Collingwood Area School,6,N,7,O,1,1,47,124,Composite (Year 1-15),State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
386,Columba College,10,Z,10,Z,0,0,359,605,Composite (Year 1-15),State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1706,Colville School,4,J,2,F,-2,-4,0,30,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1254,Colwill School,3,H,2,E,-1,-3,0,226,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
2354,Colyton School,9,Q,9,Q,0,0,0,82,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3727,Concord School,3,I,4,K,1,2,0,79,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1255,Conifer Grove School,7,O,4,K,-3,-4,0,528,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2828,Corinna School,1,A,1,A,0,0,0,216,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1172,Cornerstone Christian School,7,O,7,O,0,0,31,309,Composite (Year 1-15),State: Integrated,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
1256,Cornwall Park District School,10,Z,9,Q,-1,-1,0,657,Contributing,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
1707,Coroglen School,6,N,5,M,-1,-1,0,38,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
109,Coromandel Area School,3,I,3,G,0,-2,51,175,Composite (Year 1-15),State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1257,Cosgrove School,2,D,1,B,-1,-2,0,611,Contributing,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3324,Cotswold School,8,P,8,P,0,0,0,532,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
357,Craighead Diocesan School,9,Q,9,Q,0,0,304,341,Secondary (Year 7-15),State: Integrated,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2096,Crawshaw School,1,B,1,A,0,-1,0,286,Full Primary,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2823,Crofton Downs Primary School,10,Z,10,Z,0,0,0,178,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
373,Cromwell College,8,P,8,P,0,0,254,383,Secondary (Year 7-15),State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
3729,Cromwell Primary School,8,P,9,Q,1,1,0,210,Contributing,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
190,Cullinane College,3,I,4,J,1,1,275,275,Secondary (Year 9-15),State: Integrated,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3325,Cust School,10,Z,10,Z,0,0,0,147,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1258,Dairy Flat School,10,Z,10,Z,0,0,0,257,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
2831,Dalefield School,5,M,7,O,2,2,0,55,Full Primary,State,Carterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
234,Dannevirke High School,4,K,4,K,0,0,426,426,Secondary (Year 9-15),State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2553,Dannevirke South School,5,M,4,L,-1,-1,0,309,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
346,Darfield High School,8,P,9,Q,1,1,465,713,Secondary (Year 7-15),State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3326,Darfield School,7,O,8,P,1,1,0,208,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
19,Dargaville High School,3,I,3,I,0,0,441,441,Secondary (Year 9-15),State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1008,Dargaville Intermediate,3,H,4,J,1,2,0,186,Intermediate,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1009,Dargaville Primary School,4,J,4,K,0,1,0,358,Contributing,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1708,David Henry School,2,E,1,C,-1,-2,0,66,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
1709,David Street School,5,M,6,N,1,1,0,424,Contributing,State,Matamata-Piako District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1259,Dawson School,1,B,1,A,0,-1,0,398,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Botany,Tamaki Makaurau
94,De La Salle College,1,C,1,C,0,0,763,989,Secondary (Year 7-15),State: Integrated,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1710,Deanwell School,4,J,3,H,-1,-2,0,380,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2161,Devon Intermediate,4,K,4,K,0,0,0,292,Intermediate,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1260,Devonport School,10,Z,10,Z,0,0,0,312,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
3327,Diamond Harbour School,9,Q,10,Z,1,1,0,145,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3943,Dipton School,8,P,9,Q,1,1,0,63,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
2832,Discovery School,10,Z,10,Z,0,0,0,457,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1261,Dominion Road School,3,G,3,G,0,0,0,324,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
1262,Don Buck School,3,G,2,F,-1,-1,0,226,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
2119,Donovan Primary School,5,M,6,N,1,1,0,371,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3329,Dorie School,9,Q,9,Q,0,0,0,65,Full Primary,State,Ashburton District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1661,Douglas Park School,4,L,5,M,1,1,0,391,Contributing,State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3188,Dovedale School,4,J,5,M,1,3,0,44,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
1650,Drummond Primary School,9,Q,8,P,-1,-1,0,50,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1263,Drury School,8,P,7,O,-1,-1,0,409,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
3731,Dunedin North Intermediate,6,N,7,O,1,1,0,220,Intermediate,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1192,Dunedin Rudolf Steiner School,7,O,9,Q,2,2,0,33,Full Primary,State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3331,Dunsandel School,9,Q,9,Q,0,0,0,137,Contributing,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
372,Dunstan High School,9,Q,8,P,-1,-1,512,512,Secondary (Year 9-15),State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
3732,Duntroon School,5,M,9,Q,4,4,0,70,Full Primary,State,Waitaki District,Canterbury Region,Dunedin,Waitaki,Te Tai Tonga
2355,Durie Hill School,6,N,5,M,-1,-1,0,247,Contributing,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3332,Duvauchelle School,9,Q,6,N,-3,-3,0,33,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
2833,Dyer Street School,3,H,4,J,1,2,0,232,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3946,East Gore School,3,H,3,I,0,1,0,104,Contributing,State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
371,East Otago High School,5,M,6,N,1,1,120,185,Secondary (Year 7-15),State,Waitaki District,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3733,East Taieri School,9,Q,9,Q,0,0,0,297,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
